id,tag,sistema,descripcion,ubicacion,especialidad,categoria,responsable,fecha_elevado,fecha_prog_cierre,fecha_real_cierre,estado,observaciones,referente_cierre
"22,16-PL-0130101,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Completar soportería,PI-CE1,Piping (P),C,Construcciones,2026-07-13,2026-07-22,2026-07-22,CERRADO,Por Andres Gómez,"
"23,16-PL-0130132,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Falta soporteria ,Anexo Bin B,Piping (P),C,Construcciones,2026-07-13,2026-07-22,2026-07-22,CERRADO,Por Andres Gómez,"
"24,STZZ-1301A,""AI71-05-01 / INSTALACIÓN DE SUPERFICIE PI-CE1 / "
"STZZ-1301A TRAMPA LANZADORA (16"""")"",Falta algunas conexiones de PAT al skid ,PI-CE1,Electricidad €,C,Construcciones,2026-07-13,2026-07-22,2026-07-22,CERRADO,Por Andres Gómez,"
"25,STZZ-1301A,""AI71-05-01 / INSTALACIÓN DE SUPERFICIE PI-CE1 / "
"STZZ-1301A TRAMPA LANZADORA (16"""")"",Ancalaje de skid,PI-CE1,Mecánica (M),C,Construcciones,2026-07-13,2026-07-22,2026-07-22,CERRADO,Por Andres Gómez,"
"26,STZZ-1301B,""AI71-11-01 / INSTALACIÓN DE SUPERFICIE AREA TRAMPAS BIN B / "
"STZZ-1301B TRAMPA RECEPTORA (16"""")"",Ancalaje de skid,Anexo Bin B,Mecánica (M),C,Construcciones,2026-07-13,2026-07-22,2026-07-22,CERRADO,Por Andres Gómez,"
"27,16-PL-01301,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Falta coronamiento ,General,Piping (P),C,Construcciones,2026-07-13,2026-07-22,2026-07-22,CERRADO,Por Andres Gómez,"
"28,PI-12926,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Cambiar tapón ,Anexo Bin B,Instrumentación (I),C,Construcciones,2026-07-14,2026-07-22,2026-07-22,CERRADO,Por Andres Gómez,"
"29,""6""""-PW-816030"",AI71-18-03/ SUMIDERO: FLOWLINE FLEXI-PIPE A POZO S-1071 (PO#6),Recomoposicion del terreno post tapada del Zlfex.,Sumidero S-1071,Piping (P),C,Construcciones,2026-06-17,2026-07-25,2026-07-26,CERRADO,Por Andres Gómez,"
"30,""6""""-PW-816030"",AI71-18-03/ SUMIDERO: FLOWLINE FLEXI-PIPE A POZO S-1071 (PO#6),Completamiento de diques,General,Piping (P),C,Construcciones,2026-06-17,2026-07-25,2026-07-26,CERRADO,Por Andres Gómez,"
"31,""6""""-PW-816030"",AI71-18-03/ SUMIDERO: FLOWLINE FLEXI-PIPE A POZO S-1071 (PO#6),Completamiento de PRH,General,Piping (P),C,Construcciones,2026-06-17,2026-07-25,2026-07-26,CERRADO,Por Andres Gómez,"
"32,""6""""-PW-816030"",AI71-18-03/ SUMIDERO: FLOWLINE FLEXI-PIPE A POZO S-1071 (PO#6),Completamiento de coronamiento ,General,Piping (P),C,Construcciones,2026-06-17,2026-07-25,2026-07-26,CERRADO,Por Andres Gómez,"
"33,16-PL-01301,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Completar tapada en extremos y derivaciones del ducto,General,Piping (P),C,Construcciones,2026-07-13,2026-07-25,2026-07-26,CERRADO,Por Andres Gómez,"
"34,16-PL-01301,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Completar coronamiento,General,Piping (P),C,Construcciones,2026-07-13,2026-07-25,2026-07-26,CERRADO,Por Andres Gómez,"
"35,3-PG-1301103,""AI71-01-03: Procesamiento de hidrocarburos C1A - C1A Gas Lift (3"""")"",Pendiente completar coronamiento,General,Piping (P),C,Construcciones,2026-06-29,2026-07-29,2026-07-31,CERRADO,Por Andres Gómez,"
"36,16-PL-130105,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Completar coronamiento,General,Piping (P),C,Construcciones,2026-07-13,2026-07-29,2026-07-31,CERRADO,Por Andres Gómez,"
"37,""6""""-PW-814030"",AI72-18-01 / SUMIDEDO: FLOWLINE FLEXI-PIPE,Pendiente interrupccion de coronamiento,Salida de EPF,Piping (P),C,Construcciones,2026-04-26,2026-07-31,2026-07-26,CERRADO,Por Andres Gómez,"
"38,""6""""-PW-813030"",AI71-18-02/ SUMIDERO: FLOWLINE FLEXI-PIPE A POZO S-1021 (PO#5),Completar Touch up de pintura en Spool a la llegada de S-1021,Sumidero S-1021,Piping (P),C,Construcciones,2026-06-06,2026-07-31,2026-07-31,CERRADO,Por Andres Gómez. No aplica. OPS,"
"39,""6""""-PW-813030"",AI71-18-02/ SUMIDERO: FLOWLINE FLEXI-PIPE A POZO S-1021 (PO#5),Completar coronamiento,General,Piping (P),C,Construcciones,2026-06-06,2026-07-31,2026-07-26,CERRADO,Por Andres Gómez,"
"40,""6""""-PW-813030"",AI71-18-02/ SUMIDERO: FLOWLINE FLEXI-PIPE A POZO S-1021 (PO#5),Completamiento de diques y bermas,General,Piping (P),C,Construcciones,2026-06-06,2026-07-31,,ABIERTO,30-07: Pendiente ejecución.,"
"41,8-PL131101,""AI71-01-02: Procesamiento de hidrocarburos C1A - C1A Flow Line (8"""")"",completamiento del muerto de anclaje,PI-CE1,Piping (P),C,Construcciones,2026-07-13,2026-08-02,2026-07-31,CERRADO,Por Andres Gómez. En recorrida con construcciones se indica que se completo y se tapará con todo y encofrado,"
"42,""6""""-PW-816030"",AI71-18-03/ SUMIDERO: FLOWLINE FLEXI-PIPE A POZO S-1071 (PO#6),Completar cartelería,General,Piping (P),C,Construcciones,2026-06-17,2026-07-31,2026-07-31,CERRADO,Por Andres Gómez,"
"43,8-PL131101,""AI71-01-02: Procesamiento de hidrocarburos C1A - C1A Flow Line (8"""")"",Pendiente completamiento de la protección catódica,General,Piping (P),C,Construcciones,2026-07-06,,,ABIERTO,Se cierra cuando se complete la instalación del sistema definitivo de proteccion catódica,Kinkuro"
"44,8-PL-131101,""AI71-01-02: Procesamiento de hidrocarburos C1A - C1A Flow Line (8"""")"",Completar tapada en extremos del ducto,PAD C1A y PI-CE1,Piping (P),C,Construcciones,2026-07-06,,,ABIERTO,OK PAD C1A -  PENDIENTE PICE1,"
"45,8-PL131101,""AI71-01-02: Procesamiento de hidrocarburos C1A - C1A Flow Line (8"""")"",Orden y limpieza general del SS.,General,Piping (P),C,Construcciones,2026-07-06,,,ABIERTO,Pendiente ejecución de lado PICE1,Edgardo Soto"
"46,8-PL131101,""AI71-01-02: Procesamiento de hidrocarburos C1A - C1A Flow Line (8"""")"",Pendiente colocación de cartelería,General,Piping (P),C,Construcciones,2026-07-06,,,ABIERTO,Se emitió compra de 1000 carteles con entragas parciales. En proceso,Juan Leguisamon / Sergio Molina"
"47,3-PG-1301103,""AI71-01-03: Procesamiento de hidrocarburos C1A - C1A Gas Lift (3"""")"",Pendiente manteo de viachispa (Protección aislante),Juntas monoliticas en extremos del ducto,Piping (P),C,Construcciones,2026-06-29,,,ABIERTO,Queda pendiente la ejecución de pintura y posterior manteo,Pintura: Sebastian Astorgas/ Manteo:Edgardo Soto"
"48,8-PL131101,""AI71-01-02: Procesamiento de hidrocarburos C1A - C1A Flow Line (8"""")"",Pendiente manteo de viachispa (Protección aislante),Junta monolítica,Piping (P),C,Construcciones,2026-07-06,,,ABIERTO,Queda pendiente la ejecución de pintura y posterior manteo,Pintura: Sebastian Astorgas/ Manteo:Edgardo Soto"
"49,16-PL-01301,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Completar diques y bermas,General,Piping (P),C,Construcciones,2026-07-13,,,ABIERTO,""30-07: Se tiene documentación de calidad, la inspección sostiene que el cierra de este item se realizará con el completamiento de las bermas."","
"50,16-PL-01301,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Pendiente de colocaciòn de protección catódica definitiva.,General,Piping (P),C,Construcciones,2026-07-13,,,ABIERTO,Se cierra cuando se complete la instalación del sistema definitivo de proteccion catódica,Kinkuro"
"51,16-PL-01301,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Orden y limpieza.,General,Piping (P),C,Construcciones,2026-07-13,,,ABIERTO,,Edgardo Soto"
